,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
174,Santa Rosa,AR,-36.62,-64.29,41.07,41,0,12.53
178,Margate,AU,-43.03,147.26,50,71,75,10.29
179,Pacific Grove,US,36.62,-121.92,66.11,68,1,18.34
182,Shitanjing,CN,39.23,106.34,68.34,67,80,3.36
183,Port-Gentil,GA,-0.72,8.78,75.72,100,68,8.61
187,Jaisalmer,IN,26.91,70.91,86.34,53,0,12.64
189,Lerwick,GB,60.15,-1.15,50.9,81,0,13.87
190,Axim,GH,4.87,-2.24,77.88,97,92,12.64
191,Tubmanburg,LR,6.87,-10.82,74.64,97,100,4.81
192,Barrow,AR,-38.31,-60.23,40.89,32,0,16.55
196,Marshall,US,39.39,-87.69,79.25,88,1,3.36
198,Guerrero Negro,MX,27.97,-114.04,75,56,0,9.95
199,Salalah,OM,17.01,54.1,80.6,88,75,8.05
205,Kalmunai,LK,7.42,81.82,72.48,99,24,3.02
206,Fuerte,PH,17.54,120.36,77.88,90,0,3.69
212,Alvaraes,BR,-3.22,-64.8,79.68,81,64,3.58
213,Wakkanai,JP,45.41,141.67,53.6,81,75,10.29
216,Geraldton,CA,49.72,-86.95,66.2,34,20,5.82
217,Dikson,RU,73.51,80.55,34.41,97,8,8.28
218,Pangnirtung,CA,66.15,-65.72,33.51,99,64,6.71
219,Nome,US,30.04,-94.42,86,70,1,10.29
220,Kruisfontein,ZA,-34,24.73,54.3,96,12,9.06
221,Nouadhibou,MR,20.93,-17.03,68,77,0,14.99
223,Plouzane,FR,48.38,-4.62,57.22,71,0,9.17
225,Vestmannaeyjar,IS,63.44,-20.27,48.09,100,92,18.57
226,Upernavik,GL,72.79,-56.15,29.46,100,56,11.63
227,Tessalit,ML,20.2,1.01,91.74,18,92,4.7
229,Tiksi,RU,71.64,128.87,49.35,72,68,7.72
231,Marzuq,YE,14.4,46.47,72.84,38,76,2.57
234,Bredasdorp,ZA,-34.53,20.04,53.6,71,76,3.36
236,Lavrentiya,RU,65.58,-170.99,39.27,96,80,7.16
239,Faya,SA,18.39,42.45,69.75,33,0,3.24
241,Khingansk,RU,49.12,131.18,58.35,67,44,6.38
242,Winkler,CA,49.19,-97.94,78.17,57,1,11.41
243,Zapolyarnyy,RU,69.43,30.82,48.2,70,20,5.82
246,Kapaa,US,22.08,-159.32,82.24,66,40,18.34
248,Porto Novo,BR,-23.68,-45.44,68,68,0,3.36
252,Ketchikan,US,55.34,-131.65,56.57,87,90,11.41
260,Magadi,IN,12.96,77.22,69.8,88,40,9.17
262,Tura,IN,25.52,90.21,74.46,100,92,2.01
263,Pevek,RU,69.7,170.27,35.49,92,24,4.36
264,Liberal,US,37.04,-100.92,80.06,50,1,5.82
266,Kertosono,ID,-7.59,112.11,70.14,96,12,6.38
270,Sao Joao da Barra,BR,-21.64,-41.05,74.91,96,0,15.99
273,Thompson,CA,55.74,-97.86,78.8,29,20,11.41
275,San Rafael,AR,-34.61,-68.33,31.26,77,0,4.7
277,East London,ZA,-33.02,27.91,65.91,100,0,12.97
278,Torbay,CA,47.66,-52.73,51.8,100,75,5.82
279,Bridgton,US,44.05,-70.71,65.64,93,90,3.36
283,Kardamaina,GR,36.78,27.14,71.6,78,0,6.93
286,Owando,CG,-0.49,15.91,72.12,96,80,2.13
289,Qasigiannguit,GL,68.82,-51.19,39.2,80,75,2.24
293,Veraval,FR,49.65,0.71,54.79,76,0,6.93
294,Vanimo,PG,-2.67,141.3,81.48,100,24,6.82
296,Hamilton,BM,32.3,-64.78,78.8,88,20,13.87
300,Mmabatho,ZA,-25.85,25.61,42.8,48,0,3.36
302,Bukama,CD,-9.2,25.85,64.47,60,20,5.59
303,Jamestown,AU,-33.21,138.6,39.99,94,88,4.36
305,Ampanihy,MG,-24.69,44.75,59.25,91,0,6.93
308,Coachella,US,33.68,-116.18,103.84,10,1,4.7
309,Victoria,BN,5.28,115.24,78.8,94,75,3.36
310,Ajdabiya,LY,30.75,20.22,69.87,79,0,8.61
311,Carnarvon,ZA,-30.97,22.13,30.63,71,0,7.49
312,Kadayanallur,IN,9.08,77.35,73.29,88,44,5.26
315,Oak Ridge,US,36.01,-84.27,73.98,94,1,2.8
316,Iquique,CL,-20.22,-70.14,60.8,72,90,9.17
317,Gamba,CN,28.28,88.52,32.25,99,92,1.45
319,Talnakh,RU,69.49,88.39,58.98,78,44,7.61
323,Bilibino,RU,68.06,166.44,53.94,100,92,2.91
329,Igdir,IR,37.52,45.24,64.4,59,0,6.93
330,Bluff,AU,-23.58,149.07,63.21,37,88,5.7
335,Leningradskiy,RU,69.38,178.42,32.52,99,100,1.12
336,Taoudenni,ML,22.68,-3.98,81.39,11,0,10.29
338,Georgetown,GY,6.8,-58.16,77,94,75,9.17
339,Ancud,CL,-41.87,-73.83,48.63,97,92,5.48
344,Saint-Pierre,FR,48.95,4.24,54.59,81,0,8.05
345,Panzhihua,CN,26.59,101.72,64.2,100,92,2.91
349,Erdenet,MN,49.03,104.04,57.99,80,12,2.8
350,Qaqortoq,GL,60.72,-46.03,39.2,86,90,8.05
353,Ossora,RU,59.24,163.07,55.83,83,0,3.91
354,Abalak,NE,15.46,6.28,77.88,77,64,11.86
359,Nukus,UZ,42.46,59.61,68,56,0,2.68
360,Koplik,AL,42.21,19.44,66.2,39,0,10.29
363,Siderno,IT,38.28,16.3,70.66,78,40,5.82
365,Ekibastuz,KZ,51.72,75.32,63.66,73,76,5.14
366,Sault Sainte Marie,CA,46.49,-84.36,64.4,52,1,8.05
370,Constantine,DZ,36.36,6.61,66.2,68,40,2.24
372,Saint Anthony,US,43.97,-111.68,71.01,33,1,8.05
378,Tete,MZ,-16.16,33.59,62.85,86,64,5.59
381,Posse,BR,-14.08,-46.36,67.08,46,0,8.61
383,Fereydun Kenar,IR,36.69,52.52,71.6,88,0,2.24
387,Iqaluit,CA,63.75,-68.52,41,86,40,17.22
389,Jalu,LY,29.03,21.55,79.5,31,0,11.74
396,Dauriya,RU,49.93,116.85,61.59,80,56,13.65
401,Alofi,NU,-19.06,-169.92,78.8,88,36,12.75
404,Tessaoua,NE,13.76,7.99,75,86,44,11.97
405,Alta Floresta,BR,-9.87,-56.08,82.29,47,8,3.8
408,Abu Dhabi,AE,24.47,54.37,87.8,55,0,9.17
415,Severo-Kurilsk,RU,50.68,156.12,47.73,93,12,4.92
416,Abu Samrah,SY,35.3,37.18,66.72,77,0,9.62
430,Lebu,ET,8.96,38.73,51.69,78,80,1.68
431,Saint-Philippe,CA,45.36,-73.48,59.9,87,90,10.29
434,Dawson Creek,CA,55.76,-120.23,70.52,40,75,11.41
438,Ilulissat,GL,69.22,-51.1,39.2,80,75,2.24
440,Nefteyugansk,RU,61.09,72.61,55.4,100,90,11.18
441,Terrace,CA,54.52,-128.61,62.6,59,90,16.11
444,Bathsheba,BB,13.22,-59.52,80.6,78,40,26.4
445,Rio Grande,BR,-32.03,-52.1,49.62,95,92,8.72
447,Clyde River,CA,70.47,-68.59,39.2,86,90,4.7
448,Srednekolymsk,RU,67.46,153.71,65.82,47,0,3.13
451,Takhtamygda,RU,54.1,123.57,62.13,76,92,5.59
452,Merauke,ID,-8.49,140.4,80.22,82,76,13.42
455,Berlevag,NO,70.86,29.09,44.67,91,20,12.97
456,Boa Vista,BR,2.82,-60.67,82.4,69,40,2.24
458,Calvinia,ZA,-31.47,19.78,27.66,69,12,2.68
459,Mitu,IR,36.2,46.09,51.96,73,0,2.13
460,Kamaishi,JP,39.28,141.86,73.4,56,20,5.82
465,Sao Filipe,CV,14.9,-24.5,73.38,100,36,10.29
466,Tabas,IR,33.6,56.92,66.72,30,0,3.24
467,Derazhnya,UA,49.27,27.43,47.19,89,0,2.91
472,Romilly-sur-Seine,FR,48.52,3.72,52.74,87,0,6.93
481,Padang,ID,-0.92,100.36,81.93,100,56,4.7
485,Mount Gambier,AU,-37.83,140.78,46.92,95,80,2.68
487,Esterhazy,CA,50.65,-102.08,76.98,60,80,13.2
488,Novoagansk,RU,61.94,76.66,58.08,99,100,3.8
489,Aklavik,CA,68.22,-135.01,51.8,57,75,9.17
491,Verkhoyansk,RU,67.55,133.39,77.52,45,56,3.69
495,Sistranda,NO,63.73,8.83,51.8,93,75,16.11
496,Egvekinot,RU,66.32,-179.17,46.74,69,36,6.71
500,Shelburne,CA,44.08,-80.2,66.42,77,75,5.82
506,Ostrov,RU,57.34,28.36,51.8,87,0,11.18
509,Tuy Hoa,VN,13.08,109.3,80.67,91,12,8.72
510,Sitka,US,37.17,-99.65,77.7,77,44,9.4
511,Henties Bay,NA,-22.12,14.28,54.66,100,8,5.59
512,Malaryta,BY,51.79,24.08,49.26,98,76,7.72
513,Caravelas,BR,-17.73,-39.27,77.07,98,0,10.74
514,Semey,KZ,50.41,80.25,63.48,96,80,6.49
517,Buta,CD,2.79,24.73,71.67,92,8,2.13
518,San Pedro,AR,-33.68,-59.66,39.27,81,68,2.8
519,Mayo,CA,63.59,-135.9,57.2,82,90,2.8
523,Itaituba,BR,-4.26,-55.99,78.24,87,8,3.8
525,Hasaki,JP,35.73,140.83,80.6,57,0,5.82
529,Riyadh,SA,24.63,46.72,80.6,11,0,5.82
536,Zhuhai,CN,40.71,112.04,69.8,68,40,2.24
537,Lagoa,PT,37.14,-8.45,69.8,68,0,5.82
548,Lasa,CY,34.92,32.53,72.07,88,20,5.82
549,Bira,RU,49,132.47,57.18,78,24,2.91
551,Paka,HR,45.29,18.06,53.6,93,0,5.82
552,Malinovskiy,RU,54.15,34.53,50.07,84,24,2.91
556,Araouane,ML,18.9,-3.53,95.97,20,100,6.04
559,Cessnock,AU,-32.83,151.35,53.6,76,40,8.05
560,Haapiti,PF,-17.57,-149.87,86,62,20,6.93
562,Aljezur,PT,37.31,-8.8,63.93,100,64,13.2
563,Ballina,IE,54.11,-9.15,48.36,88,0,2.46
569,Dunedin,NZ,-45.87,170.5,41.79,71,0,19.24
571,Vuktyl,RU,63.86,57.31,63.21,85,0,1.9
573,Coihaique,CL,-45.58,-72.07,38.97,65,40,3.36
578,Saldanha,PT,41.42,-6.55,65.19,79,0,3.36
579,Yar-Sale,RU,66.83,70.83,49.8,79,80,11.52
580,Longyearbyen,NO,78.22,15.63,42.8,87,75,12.75
586,Lompoc,US,34.64,-120.46,69.78,50,1,12.75
591,Hofn,IS,64.25,-15.21,48.81,99,92,23.15
598,Coquimbo,CL,-29.95,-71.34,50,93,0,4.7
603,Mana,RS,43.52,20.24,45.37,93,0,2.24
604,Roseau,US,48.85,-95.76,72.45,69,1,13.87
606,Rundu,NA,-17.91,19.77,44.49,57,0,3.36
613,Luena,AO,-11.78,19.91,49.98,70,0,2.68
614,Tagusao,PH,9.19,117.81,82.38,88,20,3.69
618,Atar,MR,20.52,-13.05,83.64,25,0,8.72
630,Rawson,AR,-43.3,-65.11,48.54,47,20,15.99
634,Ziro,IN,27.54,93.82,80.6,94,90,3.36
636,Megion,RU,61.04,76.11,57.2,100,90,4.47
638,Koksovyy,RU,48.2,40.6,69.69,71,68,7.94
640,Maracas,TT,10.76,-61.44,75.2,100,75,11.41
643,Flin Flon,CA,54.77,-101.88,71.22,70,48,7.83
644,Sao Jose da Coroa Grande,BR,-8.9,-35.15,75.63,83,92,10.4
646,Provideniya,RU,64.42,-173.23,46.4,81,90,8.95
649,Tutoia,BR,-2.76,-42.27,79.86,73,8,11.07
657,Springhill,CA,45.64,-64.06,62.85,80,64,4.92
662,Gizo,IL,31.8,34.94,75.2,73,75,3.36
665,Komsomolskiy,RU,67.55,63.78,48.54,66,20,5.59
669,Mukhtolovo,RU,55.47,43.2,73.92,36,44,8.95
672,Pisco,PE,-13.71,-76.2,62.6,82,0,6.93
675,Harper,US,30.3,-99.24,93.4,38,1,16.11
677,Laguna,MX,27.52,-110.01,91.4,26,5,12.75
679,Batavia,US,43,-78.19,64.47,93,75,5.82
681,Anzio,IT,41.45,12.63,64.4,59,20,6.93
686,Port Keats,AU,-14.25,129.55,71.58,65,0,11.86
690,San Borja,BO,-14.86,-66.75,71.94,88,24,2.01
692,San Carlos de Bariloche,AR,-41.13,-71.31,39.2,80,75,19.46
693,Kununurra,AU,-15.77,128.74,73.4,25,0,11.41
694,Malanje,AO,-9.54,16.35,53.85,80,0,2.35
696,Kedrovyy,RU,56.17,91.82,68,68,0,5.93
699,Klaksvik,FO,62.23,-6.59,50,93,44,13.87
701,Natchitoches,US,31.76,-93.09,88.95,55,1,8.05
705,Bulolo,PG,-7.2,146.64,69.51,72,8,2.13
706,Hambantota,LK,6.12,81.12,78.42,100,20,14.43
707,Timiryazevskiy,RU,47.05,39.61,63.21,91,0,3.91
710,Bazarnyye Mataki,RU,54.9,49.93,70.41,75,32,3.24
711,Syracuse,US,43.05,-76.15,63.93,100,90,8.05
714,Champerico,MX,16.38,-93.6,78.8,69,90,9.17
718,Dunajska Streda,SK,47.99,17.61,56.08,62,0,2.24
719,Castro,CL,-42.48,-73.76,46.29,100,88,3.69
722,Bara,NG,10.41,10.6,74.91,87,92,6.93
730,Svetlaya,RU,46.54,138.33,53.4,90,12,6.71
731,Hobyo,SO,5.35,48.53,75.72,81,36,18.01
736,Yumen,CN,40.29,97.04,70.59,44,100,9.17
748,Kampong Cham,KH,11.99,105.46,75.72,96,32,4.36
749,Esperance,TT,10.24,-61.45,75.2,100,75,11.41
752,Xai-Xai,MZ,-25.04,33.64,68.25,100,0,6.6
756,Keffi,NG,8.85,7.88,68.79,95,0,5.59
761,Brae,GB,60.4,-1.35,50.77,81,64,13.87
762,Okhotsk,RU,59.36,143.24,58.08,74,0,2.57
763,Beringovskiy,RU,63.05,179.32,43.86,100,68,13.42
765,Lata,IN,30.78,78.62,56.37,79,12,2.13
768,Bantou,CN,26.22,117.49,79.14,83,12,2.35
770,Husavik,CA,50.56,-96.99,73.74,72,0,11.41
775,Charlestown,US,41.38,-71.64,67.12,100,90,11.41
780,Aitape,PG,-3.15,142.36,79.86,100,32,3.24
782,Paamiut,GL,61.99,-49.67,38.01,100,88,13.65
783,Beloha,MG,-25.17,45.06,58.17,85,0,3.91
784,Hidalgo,US,26.1,-98.26,87.78,55,1,16.11
787,Narsaq,GL,60.91,-46.05,39.2,86,90,8.05
798,Wendelstein,DE,49.36,11.14,55.38,67,0,8.05
801,Fairview,US,40.81,-74,76.42,88,90,6.93
803,Ugoofaaru,MV,5.67,73,82.29,100,92,13.09
806,Saint-Augustin,FR,44.83,-0.61,64.22,59,0,6.93
809,Chadiza,ZM,-14.06,32.43,57.72,82,0,6.38
815,Boshan,CN,36.48,117.83,83.01,68,56,9.4
823,Kenora,CA,49.76,-94.48,69.8,64,1,6.93
827,Seoul,KR,37.57,126.98,77.74,65,75,3.36
832,Waingapu,ID,-9.65,120.26,75.18,76,0,10.96
837,Lorengau,PG,-2.02,147.27,82.38,100,12,7.38
838,Long Beach,US,30.35,-89.15,88.52,62,1,5.82
850,Maldonado,UY,-34.91,-54.96,39.2,86,0,3.36
853,Tambo,AU,-24.88,146.25,56.64,68,88,9.51
868,Portland,US,45.52,-122.67,87.8,29,20,10.29
871,Chicama,PE,-7.84,-79.15,64.4,88,75,8.05
873,Buchanan,LR,5.88,-10.05,75.36,100,68,4.59
879,Viedma,AR,-40.81,-62.99,49.26,37,8,15.32
881,Kuito,AO,-12.38,16.94,43.41,65,0,2.91
886,Moussoro,TD,13.64,16.49,79.59,66,80,10.07
889,Myitkyina,MM,25.38,97.4,74.46,99,88,3.58
894,Dukat,RS,42.44,22.31,44.4,91,8,1.9
895,Ayan,TR,40.67,33.6,50.79,95,0,2.57
897,Santa Cruz,US,36.97,-122.03,73.71,68,1,18.34
899,Sundsvall,SE,62.39,17.31,50,76,0,6.93
901,Iracoubo,GF,5.48,-53.21,77.43,89,80,3.24
902,Otjimbingwe,NA,-22.35,16.13,45.12,62,0,2.46
904,Store Heddinge,DK,55.31,12.39,52.92,81,0,2.24
905,Bakchar,RU,57.02,82.07,65.19,80,0,2.35
910,Cairns,AU,-16.92,145.77,75.2,64,75,13.87
911,Haines Junction,CA,60.75,-137.51,57.72,35,80,2.91
915,Bereda,ES,43.27,-7.54,60.8,100,8,4.7
916,Hun,BE,50.34,4.87,55.44,81,36,6.93
931,Ayni,TJ,39.39,68.54,40.89,68,0,3.47
933,Hirado,JP,33.32,129.49,75.2,69,0,2.24
936,Sydney,AU,-33.85,151.22,51.22,50,20,9.17
943,Bugry,RU,60.07,30.39,50,87,20,4.47
944,Ulladulla,AU,-35.36,150.48,51.8,57,0,10.29
945,Longkou,CN,37.64,120.47,74.28,82,92,14.09
955,Balkanabat,TM,39.51,54.36,73.92,20,12,4.14
959,Saint-Francois,FR,46.42,3.91,51.8,76,0,4.81
960,Varzob,TJ,38.78,68.82,69.8,46,48,6.71
961,Teya,MX,21.05,-89.07,89.6,52,40,13.87
974,Ozernovskiy,RU,51.5,156.52,52.05,95,8,3.13
978,Zhigansk,RU,66.77,123.37,62.67,88,68,3.02
981,Grindavik,IS,63.84,-22.43,45.66,100,90,18.34
982,Quang Ngai,VN,15.12,108.8,77.16,87,68,2.68
983,Boma,NG,11.23,4.46,69.42,97,0,3.02
985,Santa Isabel do Rio Negro,BR,-0.41,-65.02,79.41,80,36,5.93
986,Borogontsy,RU,62.67,131.17,73.11,44,24,3.13
989,Morehead,US,38.18,-83.43,82.4,61,1,3.36
994,Rawatsar,IN,29.26,74.4,79.95,71,20,3.02
997,Kitimat,CA,54.02,-128.69,62.6,59,90,16.11
1002,Nampula,MZ,-15.12,39.26,66.2,82,0,4.7
1003,Yulara,AU,-25.24,130.99,51.8,40,0,11.41
1004,Dauphin,CA,51.15,-100.04,75.2,64,1,13.87
1010,Chihuahua,MX,28.66,-106.08,96.8,16,75,10.29
1011,Obihiro,JP,42.92,143.2,59,72,75,3.36
1015,Cayeli,TR,41.09,40.73,53.58,98,92,1.45
1018,Maniitsoq,GL,65.42,-52.9,37.92,86,32,7.61
1020,Tilichiki,RU,60.47,166.1,60.24,73,0,3.69
1022,Hami,CN,42.84,93.51,71.58,46,20,3.58
1028,Channel-Port aux Basques,CA,47.57,-59.14,49.98,89,92,8.39
1034,Tulun,RU,54.56,100.58,67.71,61,0,3.24
1047,Smithers,CA,54.78,-127.17,62.6,51,75,8.05
1050,Erzurum,TR,39.91,41.27,53.6,81,0,2.13
1052,Concordia,AR,-31.4,-58.02,40.98,92,0,9.17
1058,Burnie,AU,-41.05,145.91,53.13,100,0,12.75
1062,Codrington,AU,-28.95,153.24,56.28,81,0,4.25
1067,Katsuura,JP,33.93,134.5,78.8,65,0,4.7
1070,Hobro,DK,56.64,9.79,56.32,93,80,6.93
1071,Pindiga,NG,9.98,10.93,74.91,87,92,6.93
1073,Burgos,ES,42.34,-3.7,57.2,82,0,9.17
1078,Vanavara,RU,60.35,102.28,72.75,70,0,3.58
1085,Gari,RU,59.43,62.35,61.59,68,20,5.7
1089,Bourail,NC,-21.57,165.5,72.66,63,0,4.92
1092,Finschhafen,PG,-6.6,147.85,74.37,92,76,3.47
1093,Djambala,CG,-2.55,14.76,68.79,96,24,2.91
1094,Palm Coast,US,29.55,-81.22,82.4,83,1,11.41
1096,Solnechnyy,RU,50.72,136.64,60.96,85,12,3.58
1097,Roald,NO,62.58,6.12,53.87,100,92,16.11
1101,Zhanakorgan,KZ,43.91,67.25,66.72,45,12,6.38
1104,Newport,GB,51.59,-3,60.22,55,0,3.36
1110,Conceicao do Araguaia,BR,-8.26,-49.26,76.53,57,0,2.8
1111,Takoradi,GH,4.89,-1.75,76.53,95,68,8.61
1114,Jarwal,IN,27.12,81.54,79.32,85,0,6.6
1115,Khorol,UA,49.78,33.27,54.21,80,20,2.8
1116,Praya,ID,-8.71,116.27,78.8,78,75,16.11
1120,Te Anau,NZ,-45.41,167.72,36.21,94,76,6.49
1126,Illapel,CL,-31.63,-71.17,46.29,100,12,2.57
1128,Angra dos Reis,BR,-23.01,-44.32,71.6,88,0,6.93
1130,Chara,GR,39.42,22.43,66.2,82,75,3.36
1132,Knysna,ZA,-34.04,23.05,46.4,87,56,3.36
1135,Torrington,US,42.06,-104.18,69.04,56,75,17.22
1136,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,54.66,49,80,9.73
1141,Kieta,PG,-6.22,155.63,82.47,94,36,8.05
1142,Winnipeg,CA,49.88,-97.17,75.2,60,20,14.99
